"STATION","NAME","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","1870","603.5","-12.2","34.4","2983.8","12.1","15.8","8.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1871","426.6","-18.9","33.3","2735.2","10.7","14.9","6.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1872","631.8","-16.1","35.6","3386.2","10.7","14.9","6.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1873","474.0","-18.3","34.4","3453.6","10.4","14.5","6.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1874","432.2","-16.1","36.7","3205.9","10.7","15.0","6.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1875","471.9","-19.4","33.9","3343.9","9.7","13.6","5.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1876","618.3","-16.1","36.7","3211.6","11.1","14.9","7.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1877","546.3","-12.2","33.3","3287.8","11.6","15.4","7.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1878","562.5","-13.9","34.4","2778.8","12.0","15.7","8.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1879","490.3","-20.0","36.7","3038.3","11.2","15.2","7.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1880","590.9","-21.1","35.6","2682.1","11.6","15.7","7.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1881","548.8","-19.4","38.3","3492.5","11.2","15.2","7.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1882","517.0","-21.1","33.9","2887.7","10.9","14.6","7.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1883","425.5","-18.3","35.0","3390.7","10.1","13.9","6.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1884","544.9","-19.4","32.8","3316.1","11.2","14.9","7.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1885","492.8","-18.9","37.2","3324.8","10.3","14.3","6.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1886","416.4","-20.0","34.4","3124.7","10.7","14.8","6.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1887","500.8","-15.6","35.6","3249.7","10.5","14.6","6.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1888","407.5","-17.8","35.6","3606.4","9.7","13.7","5.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1889","457.2","-16.1","32.8","3017.1","11.6","15.3","7.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1890","480.5","-13.9","36.7","2827.2","11.6","15.6","7.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1891","612.8","-12.8","36.7","3038.4","12.3","16.2","8.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1892","553.0","-12.8","36.1","2916.2","11.2","15.1","7.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1893","433.0","-17.2","35.0","3370.9","10.4","14.3","6.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1894","506.7","-17.2","35.6","2947.3","11.6","15.4","7.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1895","674.6","-20.0","36.1","3122.1","11.7","15.8","7.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1896","673.5","-20.6","36.7","2959.4","12.0","15.8","8.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1897","514.7","-14.4","33.9","2817.2","12.0","15.7","8.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1898","659.7","-13.3","37.8","2654.5","12.8","16.3","9.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1899","653.7","-21.1","35.0","2910.6","12.2","15.9","8.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1900","695.2","-15.0","36.1","2927.4","12.3","16.3","8.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1901","629.1","-13.3","37.8","2874.2","11.4","14.8","7.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1902","396.2","-13.3","32.2","2976.6","11.7","15.2","8.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1903","410.5","-15.6","35.0","2626.0","11.7","15.3","8.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1904","528.7","-20.0","34.4","3314.9","10.5","14.2","6.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1905","637.8","-15.6","35.6","3201.4","11.9","15.5","8.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1906","742.4","-13.3","35.0","2694.0","12.8","16.4","9.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1907","580.4","-15.6","33.3","2995.4","11.6","15.2","8.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1908","745.4","-17.2","35.6","2865.1","12.8","16.2","9.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1909","496.9","-15.0","33.9","2665.9","12.0","15.5","8.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1910","564.5","-17.2","34.4","2768.8","12.0","15.4","8.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1911","587.1","-10.6","37.8","2997.5","11.9","15.7","8.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1912","502.7","-19.4","36.1","3110.4","11.5","15.7","7.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1913","506.4","-11.7","35.0","2496.2","12.7","17.1","8.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1914","518.1","-20.6","35.0","2956.6","11.1","15.4","6.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1915","481.6","-11.1","34.4","2867.8","11.9","16.1","7.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1916","492.5","-16.7","35.0","3086.1","11.2","15.3","7.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1917","504.2","-25.0","37.8","3065.8","10.4","14.5","6.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1918","506.9","-21.1","40.0","3309.6","11.8","16.1","7.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1919","507.8","-18.3","37.2","2607.0","12.1","16.2","8.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1920","492.4","-18.9","34.4","3224.1","11.3","15.9","6.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1921","580.5","-15.6","35.6","2479.6","12.7","17.4","8.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1922","535.8","-18.9","34.4","2862.2","11.9","16.4","7.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1923","513.9","-13.9","37.2","3079.2","11.6","16.1","7.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1924","417.0","-15.0","37.2","2908.5","11.1","15.5","6.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1925","550.4","-18.9","37.2","2802.0","11.9","16.3","7.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1926","453.0","-15.0","37.8","3197.3","10.7","15.0","6.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1927","374.5","-18.3","33.3","2988.3","11.9","16.1","7.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1928","499.4","-13.9","34.4","2793.2","11.9","16.0","7.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1929","600.4","-13.3","37.2","2684.9","12.3","16.6","7.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1930","671.1","-13.9","38.9","2790.3","12.5","16.7","8.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1931","687.6","-11.7","37.2","2832.1","13.2","17.4","9.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1932","628.5","-11.7","35.6","2408.3","12.9","17.2","8.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1933","628.9","-21.1","38.9","2615.7","12.3","16.5","8.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1934","603.0","-26.1","38.3","3126.0","11.6","16.0","7.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1935","542.6","-18.3","35.0","2911.4","11.7","16.0","7.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1936","592.9","-19.4","41.1","2984.9","11.9","16.3","7.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1937","614.9","-10.0","37.8","2690.6","12.4","16.6","8.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1938","609.8","-14.4","35.6","2726.0","12.9","17.1","8.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1939","715.0","-14.4","35.6","2692.1","12.6","16.8","8.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1940","486.8","-13.9","36.7","3122.7","11.0","15.1","6.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1941","666.9","-12.2","36.7","2861.3","12.7","17.3","8.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1942","595.9","-20.0","36.1","2595.8","12.2","16.6","7.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1943","695.9","-22.2","37.2","2917.3","12.1","16.6","7.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1944","779.3","-11.1","38.9","2910.5","12.6","17.0","8.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1945","598.2","-16.7","36.1","2779.7","12.3","16.6","7.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1946","521.6","-15.0","34.4","2716.1","13.0","17.6","8.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1947","619.6","-13.9","35.0","2679.0","12.1","16.3","7.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1948","590.8","-17.8","39.4","2967.4","12.3","16.4","8.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1949","730.9","-8.3","38.9","2338.4","13.8","18.3","9.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1950","483.1","-14.4","35.0","2635.4","12.0","16.2","7.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1951","586.2","-13.3","34.4","2535.5","12.8","17.2","8.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1952","698.7","-13.3","37.8","2581.3","13.2","17.4","9.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1953","712.4","-10.0","38.9","2443.8","13.9","18.3","9.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1954","593.3","-13.9","37.8","2454.8","12.7","17.1","8.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1955","709.2","-17.8","37.8","2660.6","12.6","16.9","8.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1956","500.9","-10.0","37.2","2993.0","11.9","16.0","7.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1957","682.7","-17.8","38.3","2656.2","13.0","17.3","8.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1958","504.9","-16.1","33.9","2783.4","11.4","15.3","7.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1959","786.7","-13.9","36.1","2880.5","13.0","17.3","8.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1960","543.5","-13.3","32.8","2721.4","12.2","16.4","8.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1961","746.6","-18.9","36.1","2839.1","12.8","17.1","8.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1962","542.9","-15.6","37.2","2632.2","11.9","16.4","7.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1963","511.4","-18.9","36.7","2960.3","12.0","16.6","7.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1964","574.0","-12.8","37.2","2699.4","12.5","17.1","8.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1965","550.5","-12.8","35.0","2786.0","12.3","16.7","8.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1966","734.4","-13.3","39.4","2676.5","12.8","17.2","8.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1967","549.3","-15.6","35.6","2909.2","11.6","15.9","7.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1968","616.3","-18.3","36.7","2914.6","12.3","16.6","7.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1969","666.3","-11.7","36.1","2650.1","12.6","16.7","8.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1970","705.0","-16.1","34.4","2935.2","12.4","16.5","8.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1971","724.9","-15.6","35.6","2809.6","12.9","16.8","8.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1972","574.1","-15.0","34.4","2635.2","12.1","16.4","7.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1973","699.5","-13.9","36.7","2665.0","13.4","17.6","9.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1974","590.0","-14.4","35.0","2552.1","12.6","16.9","8.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1975","551.5","-9.4","36.7","2650.8","12.7","16.9","8.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1976","582.7","-18.3","35.6","2589.1","11.9","16.3","7.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1977","685.5","-18.9","40.0","3056.5","12.4","16.4","8.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1978","551.0","-12.2","35.0","3015.1","11.6","15.6","7.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1979","658.3","-17.8","35.0","2681.2","13.1","17.1","9.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980","780.4","-18.3","38.9","2511.6","12.8","17.0","8.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1981","670.0","-16.7","35.6","2751.9","12.9","16.8","8.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1982","574.6","-17.8","36.7","2818.7","12.7","16.7","8.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","1983","778.8","-15.6","37.2","2432.1","13.3","17.4","9.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1984","620.9","-13.3","35.6","2735.0","13.0","16.9","9.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1985","628.6","-18.9","35.0","2406.2","13.1","17.2","8.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1986","601.3","-13.3","36.7","2527.2","12.9","17.2","8.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1987","642.5","-15.6","36.1","2612.2","12.8","17.2","8.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1988","713.8","-15.0","37.2","2729.1","12.6","17.1","8.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1989","571.4","-14.4","35.6","2641.3","12.2","16.6","7.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","1990","642.4","-13.9","35.0","2590.8","14.0","18.5","9.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1991","789.7","-12.2","38.9","2240.2","14.0","18.6","9.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","1992","488.1","-11.7","33.9","2620.0","12.2","16.5","7.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1993","738.1","-13.9","38.9","2693.7","13.0","17.6","8.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","1994","657.8","-18.9","36.7","2820.7","12.9","17.5","8.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1995","710.9","-14.4","38.9","2377.0","12.9","17.2","8.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","1996","538.7","-15.0","35.6","2894.4","12.1","15.8","8.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1997","530.6","-15.6","36.1","2652.7","12.4","16.4","8.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","1998","650.1","-10.0","33.9","2418.2","14.0","17.8","10.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1999","711.7","-12.8","38.3","2383.8","13.6","17.7","9.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2000","489.1","-16.1","33.9","2494.7","12.1","15.9","8.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2001","658.0","-8.9","39.4","2802.9","13.4","17.5","9.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2002","749.6","-7.2","36.7","2192.3","13.6","17.7","9.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2003","545.6","-13.9","34.4","2976.0","11.9","15.6","8.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2004","566.3","-17.2","32.8","2697.7","12.5","16.4","8.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2005","798.3","-15.0","37.2","2656.2","13.2","17.2","9.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2006","610.9","-9.4","36.1","2399.3","13.8","17.7","9.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2007","655.3","-13.3","33.3","2511.8","12.8","16.8","8.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2008","631.7","-12.2","35.6","2517.0","13.0","17.1","8.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2009","468.4","-14.4","33.3","2719.9","12.2","16.1","8.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2010","840.7","-10.6","39.4","2462.7","13.7","17.7","9.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2011","721.4","-14.4","40.0","2657.9","13.6","17.6","9.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2012","692.7","-10.6","37.8","2096.0","14.1","18.0","10.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013","692.0","-11.7","36.7","2611.3","13.0","16.8","9.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014","610.9","-15.5","33.3","2783.1","12.4","16.4","8.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2015","855.3","-16.6","36.1","2791.8","13.7","17.9","9.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016","809.3","-18.2","35.6","2121.5","14.0","18.1","9.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017","680.5","-12.7","34.4","2376.4","13.5","17.3","9.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018","774.0","-14.9","35.6","2550.6","13.3","17.0","9.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019","684.1","-16.6","35.0","2589.8","13.1","17.0","9.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020","725.4","-9.9","35.6","2407.0","14.1","17.9","10.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021","716.6","-9.9","36.7","2379.0","13.8","17.6","10.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2022","749.6","-13.8","36.1","2380.9","13.5","17.6","9.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2023","671.6","-16.0","33.9","2165.2","14.4","18.2","10.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2024",,,,,,,
